text,labels
"tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone TWS Wireless Earphones Sport Headphones Bluetooth 5.2 Earbuds Handsfree Headset With Mic for IPhone Samsung Xiaomi Smart Phone  SPECIFICATIONS   Active Noise-Cancellation :  Yes    Bluetooth Version :  5.0    Brand Name :  Cohai    Category :  Earphones &amp; Headphones    Certification :  None    Charging Method :  cable    Codecs :  Apt-X    Communication :  WireLess    Connectors :  USB    Control Button :  Yes    Driver Diameter :  10    Earcups Type :  Semi-open    Features :  Waterproof,With microphone,Active Noice Cancelling    Frequency Response Range :  20 - 22000    Function :  Common Headphone,For Mobile Phone,Sport,For Outdoor,For Office,For Sleep,For Study    Headphone Pads Material :  Other    Impedance Range :  up to 32 Ω    Is wireless :  Yes    Line Length :  0    Magnet Type :  Other    Material :  Plastic    Max Output :  0    Number Of Drivers :  1    Origin :  Mainland China    Package List :  User Manual,Charging Cable    Plug Type :  None    Resistance :  32    Sensitivity :  115    Style :  Ear Hook    Support APP :  Yes    Support Memory Card :  No    Total Harmonic Distortion :  0    Vocalism Principle :  Dynamic    Volume Control :  Yes    Waterproof :  Yes    Wireless Type :  Bluetooth    With Microphone :  Yes",Headphones|TWS
"kz-zsn-pro-2-1ba-1dd-hybrid-driver-in-ear-earphone-hifi-bass-earbuds-metal-monitor-earphone-sport-headset-interchangeable-earph KZ ZSN Pro 2 1BA+1DD Hybrid Driver In Ear Earphone HIFI Bass Earbuds Metal Monitor Earphone Sport Headset  Interchangeable earph  SPECIFICATIONS   Active Noise-Cancellation :  No    Brand Name :  CCA    Category :  Earphones &amp; Headphones    Certification :  CE    Codecs :  None    Communication :  Wired    Connectors :  3.5 MM    Control Button :  Yes    Driver Diameter :  10    Features :  With microphone,Detachable Cable    Frequency Response Range :  20 - 40000    Function :  For Internet Bar,Monitor Headphone,for Video Game,Common Headphone,For Mobile Phone,HiFi Headphone,Sport    Headphone Pads Material :  Memory Foam    Impedance Range :  up to 32 Ω    Is wireless :  No    Line Length :  1.2    Material :  Metal,Plastic    Max Output :  0    Number Of Drivers :  4    Origin :  Mainland China    Package List :  3.5mm Jack Adapter,Detachable Audio Cable    Plug Type :  L Bending    Resistance :  26    Sensitivity :  108    Sound Isolating :  Yes    Style :  In-ear    Support APP :  No    Support Memory Card :  No    Vocalism Principle :  Hybrid Technology    Volume Control :  No    Waterproof :  No    Weight[g] :  0.1    Wireless Type :  None    With Microphone :  Yes",Headphones|KZ
1pc-3-5mm-wired-noise-reduction-earphones-silica-gel-stereo-in-ear-headset-mobile-phone-mp3-sleep-headphones-for-android 1PC 3.5mm Wired Noise Reduction Earphones Silica Gel Stereo In-Ear Headset Mobile Phone MP3 Sleep Headphones For Android  SPECIFICATIONS   Active Noise-Cancellation :  Yes    Brand Name :  okdeals    Category :  Earphones &amp; Headphones    Certification :  None    Choice :  yes    Communication :  Wired    Control Button :  Yes    Frequency Response Range :  -    Hign-concerned Chemical :  None    Is wireless :  No    Item Condition :  New    Material :  Silica Gel    Origin :  Mainland China    Style :  In-ear    Vocalism Principle :  Other    Volume Control :  Yes    Wireless Type :  Bluetooth,C0dejunky|Earbuds
"fanfun-karaoke-machine-with-2-microphones-portable-bluetooth-speaker-with-rgb-light-karaoke-system-for-karaoke-home-party FanFun Karaoke Machine with 2 Microphones, Portable Bluetooth Speaker with RGB Light, Karaoke System for Karaoke Home Party  SPECIFICATIONS   Audio Crossover :  Full-Range    Battery :  Yes    Brand Name :  FanFun    Cabinet Material :  Plastic    Category :  Speakers    Channels :  1    Communication :  Induction    Hign-concerned Chemical :  None    Inbox adaptor :  No    Input Power(W) :  &lt;25 W    Input/Output :  USB    Intelligent Personal Assistant :  None    Material :  Paper    Number of Loudspeaker Enclosure :  1    Origin :  Mainland China    Power Source :  USB,USB    Sound Mode :  3D Surround Sound Mode,Stereo Sound Mode,Standard Mode    Speaker Type :  Portable    Support APP :  Yes    Use :  Stage    Voice Control :  No    Waterproof :  No",C0dejunky|Karaoke Machine
"bluetooth-compatible-5-3-shower-speaker-ipx7-waterproof-shower-radio-fm-radio-with-suction-cup-for-kayak-beach-pool-accessories Bluetooth-Compatible 5.3 Shower Speaker IPX7 Waterproof Shower Radio FM Radio with Suction Cup for Kayak Beach Pool Accessories  SPECIFICATIONS   Audio Crossover :  Full-Range    Battery :  Yes    Brand Name :  Shunmaii    Cabinet Material :  Plastic    Category :  Speakers    Certification :  None    Channels :  1    Communication :  Bluetooth    Hign-concerned Chemical :  None    Inbox adaptor :  No    Input Power(W) :  &lt;25 W    Input/Output :  USB    Intelligent Personal Assistant :  None    Material :  Plastic    Number of Loudspeaker Enclosure :  1    Origin :  Mainland China    Power Source :  Battery,Battery    Sound Mode :  Standard Mode    Speaker Type :  Portable    Support APP :  No    Support Memory Card :  No    Use :  Home    Voice Control :  No    Waterproof :  Yes",Bluetooth Speaker|C0dejunky
"white-noise-machine-flame-air-diffuser-humidifier-with-8-nature-sounds-bt-speaker-night-light-essential-oil-diffuser White Noise Machine Flame Air Diffuser Humidifier with 8 Nature Sounds BT Speaker Night Light Essential Oil Diffuser  SPECIFICATIONS   Audio Crossover :  Full-Range    Battery :  Yes    Brand Name :  ALLOYSEED    Cabinet Material :  Plastic    Category :  Speakers    Certification :  None,None    Channels :  1    Communication :  Bluetooth    Hign-concerned Chemical :  None    Inbox adaptor :  No    Input Power(W) :  &lt;25 W    Input/Output :  USB    Intelligent Personal Assistant :  None    Material :  Plastic    Number of Loudspeaker Enclosure :  1    Origin :  Mainland China    Power Source :  None,USB    Sound Mode :  Standard Mode    Speaker Type :  Portable    Support APP :  No    Use :  Home    Voice Control :  No    Waterproof :  No",Alloyseed|White Noise Machine
"mofii-wired-connection-minimalist-business-ergonomic-easy-connection-sweet-wired-keyboard MOFii Wired Connection Minimalist Business Ergonomic Easy Connection Sweet Wired Keyboard  SPECIFICATIONS   Application :  Desktop,Laptop    Battery Included :  No    Brand Name :  mofii    Choice :  yes    Full Size keyboard :  Yes    Hign-concerned Chemical :  None    Interface Type :  USB    Keyboard Standard :  104 Keys    Language :  English    Operation Style :  Membrane    Origin :  Mainland China    Package :  Yes    Style :  Standard    Type :  Wired",C0dejunky|Wired Keyboard
"honeycomb-wired-gaming-mouse-rgb-backlight-7200-adjustable-dpi-ergonomic-usb-computer-mice-for-windows-pc-laptop-gamers Honeycomb Wired Gaming Mouse RGB Backlight 7200 Adjustable DPI Ergonomic USB Computer Mice for Windows PC & Laptop Gamers  SPECIFICATIONS   Battery Included :  Yes    Brand Name :  SZKOSTON    Certification :  CE    Choice :  yes    Hand Orientation :  Both Hands    Hign-concerned Chemical :  None    Interface Type :  USB    Number of Buttons :  6    Origin :  Mainland China    Package :  Yes    Style :  DPI adjust button,Backlight    Type :  Wired    semi_Choice :  yes",C0dejunky|Computer Mouse
"boya-boya-mini-wireless-lavalier-lapel-microphone-for-iphone-ipad-android-type-c-phone-live-broadcast-audio-video-recording-vlog BOYA BOYA Mini Wireless Lavalier Lapel Microphone for iPhone iPad Android Type-C Phone Live Broadcast Audio Video Recording Vlog  SPECIFICATIONS   BOYA Microphone Transmission Type :  2.4Ghz wireless microphone    BOYA Model :  BOYA mini    BOYA mini 12-15 :  With charging box    BOYA mini 16/17/23 :  Without charging box    Brand Name :  BOYA    Built-in Battery :  Yes    Certification :  CE,FCC    Charging Case Port :  USB-C port    Color :  Black,White    Communication :  WireLess    Diaphragm :  S-Mall    Frequency Response :  20 Hz-20 kHz    Hign-concerned Chemical :  None    Origin :  Mainland China    Package :  Yes    Polar Patterns :  Omnidirectional    Set Type :  Multi-Microphone Kits    Style :  Lavalier Microphone    Transducer :  Condenser Microphone    Use :  Pro Studio    Wireless Signal-to-noise Ratio :  80dB    boya iphone wireless microphone :  for Live Broadcast Gaming Recording Interview Vlog    boya microphone :  wireless microphone for cell phone    lavalier Mic Charging Case Weight :  29g    lavalier Mic RX Weight :  3g    lavalier Mic TX Weight :  5g    lavalier microphone  for :  iphone,iphone15-16,ipad    microphone wireless RF Output Power :  10dBm    microphone wireless Sensitivity :  -36dB    mini Microphone Bit Rate :  16 bit    wireless lavalier microphone  for :  Android/Type-c Devices    wireless mic TX  Battery Life :  6h    wireless mic TX Battery Capacity :  65 mAh    wireless mic TX Charging Time :  Approx. 1.5 hours    wireless microphone Operating Range :  100m/328Ft",C0dejunky|Microphone
super-mini-usb-2-0-microphone-mic-audio-adapter-portable-studio-speech-mic-driver-free-for-laptop-notebook-pc-msn-skype Super Mini USB 2.0 Microphone MIC Audio Adapter Portable Studio Speech MIC Driver Free for Laptop/Notebook/PC/MSN/Skype  SPECIFICATIONS   Brand Name :  WYMECT    Built-in Battery :  No    Certification :  CE    Choice :  yes    Communication :  WireLess    Diaphragm :  S-Mall    Hign-concerned Chemical :  None    Origin :  Mainland China    Package :  Yes    Polar Patterns :  Uni-directional    Set Type :  Single Microphone    Style :  Dynamic Microphone    Transducer :  Dynamic Microphone    Use :  Computer Microphone    semi_Choice :  yes,C0dejunky|Microphone
