Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google age group (product.metafields.mm-google-shopping.age_group),google shopping condition (product.metafields.mm-google-shopping.condition),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Google Shopping Gender (product.metafields.mm-google-shopping.gender),Google Shopping GTIN/MPN (product.metafields.mm-google-shopping.mpn),sub type (product.metafields.product.sub_type),Audio connectivity (product.metafields.shopify.audio-connectivity),Color (product.metafields.shopify.color-pattern),Connectivity technology (product.metafields.shopify.connectivity-technology),Earphone features (product.metafields.shopify.earphone-features),Headphone style (product.metafields.shopify.headphone-style),Makeup features (product.metafields.shopify.makeup-features),Microphone type (product.metafields.shopify.microphone-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,TWS Wireless Earphones Sport Headphones Bluetooth 5.2 Earbuds Handsfree Headset With Mic for IPhone Samsung Xiaomi Smart Phone,"<h1>SPECIFICATIONS</h1><p><span>Active Noise-Cancellation</span>: <span style=""color:#333"">Yes</span></p><p><span>Bluetooth Version</span>: <span style=""color:#333"">5.0</span></p><p><span>Brand Name</span>: <span style=""color:#333"">Cohai</span></p><p><span>Category</span>: <span style=""color:#333"">Earphones &amp; Headphones</span></p><p><span>Certification</span>: <span style=""color:#333"">None</span></p><p><span>Charging Method</span>: <span style=""color:#333"">cable</span></p><p><span>Codecs</span>: <span style=""color:#333"">Apt-X</span></p><p><span>Communication</span>: <span style=""color:#333"">WireLess</span></p><p><span>Connectors</span>: <span style=""color:#333"">USB</span></p><p><span>Control Button</span>: <span style=""color:#333"">Yes</span></p><p><span>Driver Diameter</span>: <span style=""color:#333"">10</span></p><p><span>Earcups Type</span>: <span style=""color:#333"">Semi-open</span></p><p><span>Features</span>: <span style=""color:#333"">Waterproof,With microphone,Active Noice Cancelling</span></p><p><span>Frequency Response Range</span>: <span style=""color:#333"">20 - 22000</span></p><p><span>Function</span>: <span style=""color:#333"">Common Headphone,For Mobile Phone,Sport,For Outdoor,For Office,For Sleep,For Study</span></p><p><span>Headphone Pads Material</span>: <span style=""color:#333"">Other</span></p><p><span>Impedance Range</span>: <span style=""color:#333"">up to 32 Ω</span></p><p><span>Is wireless</span>: <span style=""color:#333"">Yes</span></p><p><span>Line Length</span>: <span style=""color:#333"">0</span></p><p><span>Magnet Type</span>: <span style=""color:#333"">Other</span></p><p><span>Material</span>: <span style=""color:#333"">Plastic</span></p><p><span>Max Output</span>: <span style=""color:#333"">0</span></p><p><span>Number Of Drivers</span>: <span style=""color:#333"">1</span></p><p><span>Origin</span>: <span style=""color:#333"">Mainland China</span></p><p><span>Package List</span>: <span style=""color:#333"">User Manual,Charging Cable</span></p><p><span>Plug Type</span>: <span style=""color:#333"">None</span></p><p><span>Resistance</span>: <span style=""color:#333"">32</span></p><p><span>Sensitivity</span>: <span style=""color:#333"">115</span></p><p><span>Style</span>: <span style=""color:#333"">Ear Hook</span></p><p><span>Support APP</span>: <span style=""color:#333"">Yes</span></p><p><span>Support Memory Card</span>: <span style=""color:#333"">No</span></p><p><span>Total Harmonic Distortion</span>: <span style=""color:#333"">0</span></p><p><span>Vocalism Principle</span>: <span style=""color:#333"">Dynamic</span></p><p><span>Volume Control</span>: <span style=""color:#333"">Yes</span></p><p><span>Waterproof</span>: <span style=""color:#333"">Yes</span></p><p><span>Wireless Type</span>: <span style=""color:#333"">Bluetooth</span></p><p><span>With Microphone</span>: <span style=""color:#333"">Yes</span></p>",TWS,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,Headphones,in-The ear,FALSE,Color,White,,,,,,,,14:29#White,18,dsers-fulfillment-service,continue,dsers-fulfillment-service,4.23,4.23,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/Sf99f2e142f734b648a66f66b3615ae9cO.webp?v=1759718872,1,,FALSE,,,543626,,,,,,,,,,,,,,,,,bluetooth,black; white; silver,bluetooth; wireless,waterproof; built-in-microphone; noise-cancellation,ear-hook,,built-in,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S1db7a906cb2a448491d927c0cbab1690f.webp?v=1759718871,kg,,4.23,draft
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,,,,,,,,,Black,,,,,,,,14:193#Black,18,dsers-fulfillment-service,continue,dsers-fulfillment-service,4.23,4.23,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S64f58a20111744f5a986ffb6de87388aG.webp?v=1759718872,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S491a3b8be7fd4128a5512955a25d53f1M.webp?v=1759718871,kg,,4.23,
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S7427277ee33c4e6fae05a4a8d1a553c6l.webp?v=1759718872,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S16923b3d697f4d8a90656467483a9925h.webp?v=1759718871,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S7deee5298ae245bcb17ee107f6b1e148R.webp?v=1759718871,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/Sf08d442c6db046f0a8aa38155e7e4669B.webp?v=1759718871,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S1db7a906cb2a448491d927c0cbab1690f.webp?v=1759718871,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tws-wireless-earphones-sport-headphones-bluetooth-5-2-earbuds-handsfree-headset-with-mic-for-iphone-samsung-xiaomi-smart-phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S491a3b8be7fd4128a5512955a25d53f1M.webp?v=1759718871,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kz-zsn-pro-2-1ba-1dd-hybrid-driver-in-ear-earphone-hifi-bass-earbuds-metal-monitor-earphone-sport-headset-interchangeable-earph,KZ ZSN Pro 2 1BA+1DD Hybrid Driver In Ear Earphone HIFI Bass Earbuds Metal Monitor Earphone Sport Headset  Interchangeable earph,"<h1>SPECIFICATIONS</h1><p><span>Active Noise-Cancellation</span>: <span style=""color:#333"">No</span></p><p><span>Brand Name</span>: <span style=""color:#333"">CCA</span></p><p><span>Category</span>: <span style=""color:#333"">Earphones &amp; Headphones</span></p><p><span>Certification</span>: <span style=""color:#333"">CE</span></p><p><span>Codecs</span>: <span style=""color:#333"">None</span></p><p><span>Communication</span>: <span style=""color:#333"">Wired</span></p><p><span>Connectors</span>: <span style=""color:#333"">3.5 MM</span></p><p><span>Control Button</span>: <span style=""color:#333"">Yes</span></p><p><span>Driver Diameter</span>: <span style=""color:#333"">10</span></p><p><span>Features</span>: <span style=""color:#333"">With microphone,Detachable Cable</span></p><p><span>Frequency Response Range</span>: <span style=""color:#333"">20 - 40000</span></p><p><span>Function</span>: <span style=""color:#333"">For Internet Bar,Monitor Headphone,for Video Game,Common Headphone,For Mobile Phone,HiFi Headphone,Sport</span></p><p><span>Headphone Pads Material</span>: <span style=""color:#333"">Memory Foam</span></p><p><span>Impedance Range</span>: <span style=""color:#333"">up to 32 Ω</span></p><p><span>Is wireless</span>: <span style=""color:#333"">No</span></p><p><span>Line Length</span>: <span style=""color:#333"">1.2</span></p><p><span>Material</span>: <span style=""color:#333"">Metal,Plastic</span></p><p><span>Max Output</span>: <span style=""color:#333"">0</span></p><p><span>Number Of Drivers</span>: <span style=""color:#333"">4</span></p><p><span>Origin</span>: <span style=""color:#333"">Mainland China</span></p><p><span>Package List</span>: <span style=""color:#333"">3.5mm Jack Adapter,Detachable Audio Cable</span></p><p><span>Plug Type</span>: <span style=""color:#333"">L Bending</span></p><p><span>Resistance</span>: <span style=""color:#333"">26</span></p><p><span>Sensitivity</span>: <span style=""color:#333"">108</span></p><p><span>Sound Isolating</span>: <span style=""color:#333"">Yes</span></p><p><span>Style</span>: <span style=""color:#333"">In-ear</span></p><p><span>Support APP</span>: <span style=""color:#333"">No</span></p><p><span>Support Memory Card</span>: <span style=""color:#333"">No</span></p><p><span>Vocalism Principle</span>: <span style=""color:#333"">Hybrid Technology</span></p><p><span>Volume Control</span>: <span style=""color:#333"">No</span></p><p><span>Waterproof</span>: <span style=""color:#333"">No</span></p><p><span>Weight[g]</span>: <span style=""color:#333"">0.1</span></p><p><span>Wireless Type</span>: <span style=""color:#333"">None</span></p><p><span>With Microphone</span>: <span style=""color:#333"">Yes</span></p>",KZ,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,Headphones,,FALSE,Color,Gold with mic,,,,,,,,14:366#Gold with mic,100,dsers-fulfillment-service,continue,dsers-fulfillment-service,18.04,18.04,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S3e36d0b695924049911203f3234562314.webp?v=1759718872,1,,FALSE,,,543626,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S1eee3f24af8d497c86a171aaa300eb80t.webp?v=1759718871,kg,,18.04,draft
kz-zsn-pro-2-1ba-1dd-hybrid-driver-in-ear-earphone-hifi-bass-earbuds-metal-monitor-earphone-sport-headset-interchangeable-earph,,,,,,,,,Blue with mic,,,,,,,,14:29#Blue with mic,100,dsers-fulfillment-service,continue,dsers-fulfillment-service,18.04,18.04,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/Sf156c0cc860c4bb4a5297dafc7590524b.webp?v=1759718871,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0954/6242/4857/files/S0df1c23f54804b958de9b3c90c9680b4W.webp?v=1759718871,kg,,18.04,
